"","Metabolite","Cluster"
"2-aminoadipate","2-aminoadipate",1
"3-phosphoglycerate","3-phosphoglycerate",2
"alpha-glycerophosphate","alpha-glycerophosphate",3
"4-pyridoxate","4-pyridoxate",3
"aconitate","aconitate",2
"adenine","adenine",3
"adipate","adipate",3
"alpha-ketoglutarate","alpha-ketoglutarate",2
"AMP","AMP",3
"citrate","citrate",2
"isocitrate","isocitrate",2
"CMP","CMP",3
"cystathionine","cystathionine",1
"cytidine","cytidine",3
"dCMP","dCMP",3
"DHAP/glyceraldehyde.3P","DHAP/glyceraldehyde.3P",2
"erythrose-4-phosphate","erythrose-4-phosphate",2
"F1P/F6P/G1P/G6P","F1P/F6P/G1P/G6P",2
"hexoses.(HILIC.neg)","hexoses.(HILIC.neg)",4
"fumarate/maleate/alpha-ketoisovalerate","fumarate/maleate/alpha-ketoisovalerate",2
"glucuronate","glucuronate",4
"glutathione.oxidized","glutathione.oxidized",2
"glutathione.reduced","glutathione.reduced",2
"GMP","GMP",3
"guanosine","guanosine",5
"hippurate","hippurate",4
"hypoxanthine","hypoxanthine",5
"inosine","inosine",5
"kynurenine","kynurenine",6
"lactate","lactate",4
"lactose","lactose",4
"malate","malate",2
"NAD","NAD",2
"NADP","NADP",2
"oxalate","oxalate",3
"pantothenate","pantothenate",5
"PEP","PEP",2
"ribose-5-P/ribulose5-P","ribose-5-P/ribulose5-P",2
"sorbitol","sorbitol",4
"succinate/methylmalonate","succinate/methylmalonate",4
"sucrose","sucrose",4
"thymine","thymine",7
"UMP","UMP",3
"UDP-galactose/UDP-glucose","UDP-galactose/UDP-glucose",2
"uracil","uracil",4
"urate","urate",4
"uridine","uridine",3
"xanthine","xanthine",4
"taurocholate","taurocholate",4
"glycodeoxycholate/glycochenodeoxycholate","glycodeoxycholate/glycochenodeoxycholate",4
"taurodeoxycholate/taurochenodeoxycholate","taurodeoxycholate/taurochenodeoxycholate",4
"phosphocreatine","phosphocreatine",2
"3-methyladipate/pimelate","3-methyladipate/pimelate",3
"6-phosphogluconate","6-phosphogluconate",4
"alpha-hydroxybutyrate","alpha-hydroxybutyrate",3
"2-hydroxyglutarate","2-hydroxyglutarate",2
"inositol","inositol",2
"malondialdehyde","malondialdehyde",4
"glycine","glycine",2
"alanine","alanine",2
"serine","serine",4
"threonine","threonine",4
"methionine","methionine",4
"aspartate","aspartate",2
"glutamate","glutamate",2
"asparagine","asparagine",2
"glutamine","glutamine",4
"histidine","histidine",4
"arginine","arginine",4
"lysine","lysine",4
"valine","valine",4
"leucine","leucine",4
"isoleucine","isoleucine",4
"phenylalanine","phenylalanine",4
"tyrosine","tyrosine",4
"tryptophan","tryptophan",4
"proline","proline",2
"cis/trans-hydroxyproline","cis/trans-hydroxyproline",2
"ornithine","ornithine",4
"citrulline","citrulline",4
"taurine","taurine",2
"5-HIAA","5-HIAA",1
"serotonin","serotonin",1
"GABA","GABA",2
"acetylglycine","acetylglycine",3
"dimethylglycine","dimethylglycine",4
"homocysteine","homocysteine",2
"SDMA/ADMA","SDMA/ADMA",4
"NMMA","NMMA",4
"allantoin","allantoin",4
"anthranilic.acid","anthranilic.acid",4
"kynurenic.acid","kynurenic.acid",4
"5-adenosylhomocysteine","5-adenosylhomocysteine",3
"carnosine","carnosine",4
"N-carbamoyl-beta-alanine","N-carbamoyl-beta-alanine",4
"thiamine","thiamine",4
"niacinamide","niacinamide",4
"betaine","betaine",4
"choline","choline",4
